City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Moron,AR,2022-07-20 21:52:35,scattered clouds,-34.6534,-58.6198,62.49,72,39,5.64
101,Qaanaaq,GL,2022-07-20 21:52:35,overcast clouds,77.484,-69.3632,41.14,80,100,2.95
102,Mar Del Plata,AR,2022-07-20 21:48:56,scattered clouds,-38.0023,-57.5575,53.83,63,40,12.35
103,Zlobin,HR,2022-07-20 21:52:35,clear sky,45.2924,14.6541,70.59,72,2,5.35
104,Ketchikan,US,2022-07-20 21:52:36,broken clouds,55.3422,-131.6461,61.27,63,75,11.5
105,Dudinka,RU,2022-07-20 21:52:36,overcast clouds,69.4058,86.1778,52.63,79,99,10.38
106,Madang,PG,2022-07-20 21:52:36,overcast clouds,-5.2246,145.7966,77.18,90,99,2.51
107,Liling,CN,2022-07-20 21:52:36,light rain,27.6667,113.5,78.37,88,100,3.91
108,Lebu,CL,2022-07-20 21:52:37,overcast clouds,-37.6167,-73.65,52.83,96,100,10.07
109,Ancud,CL,2022-07-20 21:52:37,broken clouds,-41.8697,-73.8203,40.23,67,77,11.48
110,Montepuez,MZ,2022-07-20 21:52:37,clear sky,-13.1256,38.9997,58.98,96,0,4.94
111,Inirida,CO,2022-07-20 21:52:38,broken clouds,3.8653,-67.9239,77.47,93,72,2.35
112,Kasempa,ZM,2022-07-20 21:52:38,broken clouds,-13.4584,25.8338,64.67,50,51,8.23
113,Carndonagh,IE,2022-07-20 21:52:38,overcast clouds,55.25,-7.2667,54.48,86,93,6.2
114,Igra,RU,2022-07-20 21:52:39,scattered clouds,57.5558,53.0547,51.69,95,45,3.53
115,Barmer,IN,2022-07-20 21:52:39,light rain,25.75,71.3833,81.77,83,49,18.92
116,Cap Malheureux,MU,2022-07-20 21:52:39,light rain,-19.9842,57.6142,65.46,75,92,8.99
117,Takoradi,GH,2022-07-20 21:52:39,broken clouds,4.8845,-1.7554,73.51,73,55,7.18
118,Ponta Do Sol,PT,2022-07-20 21:52:40,clear sky,32.6667,-17.1,73.71,81,5,7.23
119,Victoria,HK,2022-07-20 21:52:40,few clouds,22.2855,114.1577,86.38,84,21,5.99
120,Bembibre,ES,2022-07-20 21:52:41,clear sky,42.6177,-6.4155,68.72,60,0,1.01
121,Yulara,AU,2022-07-20 21:52:41,few clouds,-25.2406,130.9889,44.22,53,18,10.25
122,Evensk,RU,2022-07-20 21:49:41,few clouds,61.95,159.2333,63.91,50,14,4.74
